F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,Label
0.0081835,0.70421,1.2829,0.76712,0.53391,0.55122,0.55889,0.31066,0.50189,0.26708,0.39774,0.27964,0.35098,0.3406,0.80718,1.6395,1.3847,2.3422,1.7314,2.5519,2.136,1.9589,1.3855,1.9136,1.7832,2.7143,1.4912,2.577,3.5905,3.1061,1.9411,2.6259,2.2727,4.3542,2.9459,2.6594,5.7437,8.2591,8.2612,14.132,20.178,28.123,28.012,30.311,36.658,99.468,230.78,154.37,50.114,30.68,29.84,25.567,16.599,11.771,15.659,12.439,5.9725,3.8828,5.9041,3.2301,1.5405,1.6524,1.4968,2.0921,2.6661,1.2609,0.7286,1.0302,1.8258,0.89096,1.2662,1.1911,2.5319,1.3661,0.83253,0.85726,1.0964,1.0449,0.8801,1.5936,1.7866,1.5638,0.63036,1.1433,1.6115,0.22946,0.3577,0.3598,0.071739,0.38931,0.37484,0.075616,0.63622,0.11837,0.61696,0.2911,0.68945,0.97839,0.5087,0.0053441,0.00032185,0.0094279,Corona
0.0063204,0.75923,1.1816,0.80309,0.64947,0.30339,0.60703,0.35142,0.41205,1.2873,2.2995,2.0795,1.2837,1.141,2.4034,2.1272,2.2028,1.6421,0.90426,1.6647,1.3714,0.50133,1.6221,2.4945,2.2744,1.461,1.7109,2.5761,3.1919,4.8059,3.8987,3.4903,3.3575,3.8771,5.2212,2.8066,5.1248,7.9133,12.95,13.364,20.267,23.641,30.712,28.744,73.886,226.45,193.82,63.808,40.107,30.154,22.452,16.728,18.172,13.188,6.7352,3.7034,2.1258,3.5336,3.5416,4.8355,3.9707,4.6588,2.6054,3.2087,2.064,1.4245,0.86896,0.77127,1.1518,0.98298,0.69321,1.7095,1.0247,0.4084,2.0098,1.2305,1.1967,1.2575,2.1454,1.7493,2.5314,3.0138,1.6985,0.057023,0.049756,0.44871,0.2879,0.094352,0.33634,0.3601,0.29885,0.22121,0.37849,0.28624,0.52116,0.31593,0.68528,0.93161,0.65846,0.0064312,0.00033971,0.0098577,Corona
0.0085675,0.64104,1.706,1.9407,1.7898,2.2174,1.8218,1.1674,1.5522,0.80821,1.2675,1.0433,0.69246,1.0454,1.0801,0.87554,2.1788,2.2355,2.5671,1.9983,1.6983,1.312,2.2056,1.2687,1.3708,2.0045,2.8602,2.0512,2.5297,3.537,4.347,3.9721,3.7467,4.8092,5.6017,9.0215,11.544,14.907,12.144,19.25,25.376,27.966,24.895,33.22,62.882,194.36,240.44,91.747,42.718,30.314,24.313,20.569,11.67,11.965,13.921,10.963,11.511,7.6681,6.2028,4.3295,5.9359,3.6505,3.3405,2.2336,3.0038,3.0331,2.3471,2.2828,2.5829,1.5586,1.3785,1.9478,2.7944,1.6625,0.77389,0.33044,1.1781,0.98622,0.91672,0.42611,1.5319,1.1663,0.74522,1.8289,2.0303,1.29,1.0452,1.4543,0.1788,0.34632,0.49968,0.10672,0.69833,0.22681,0.63076,0.54506,0.81008,1.2958,0.53168,0.0076239,0.00028035,0.0093447,Corona
0.0060912,0.61039,1.1575,0.68328,0.56657,0.62981,0.42612,0.51711,0.23589,0.57581,0.29041,1.5296,1.1242,0.67714,1.1231,2.4988,2.6738,2.4461,1.4552,1.6697,1.5661,1.3583,1.1171,1.2528,1.2373,1.3582,0.45573,2.0488,3.223,2.5545,2.7006,3.3937,4.2132,2.9367,3.1036,4.8247,3.357,3.6949,8.637,10.601,20.878,23.89,26.643,23.644,45.481,91.179,247.59,134.36,43.916,29.88,24.479,20.685,17.359,19.262,8.7596,7.2576,5.3239,4.3955,5.2576,4.0675,3.9476,1.8818,2.4416,2.2742,0.85649,1.2153,1.0262,1.0534,0.6072,1.6013,1.1485,0.9944,1.2001,1.4675,2.0683,1.297,1.1848,0.94713,1.3192,1.0672,1.3629,2.2634,0.92131,1.2744,0.59604,0.38994,0.011891,0.35598,0.37538,0.081036,0.45946,0.22979,0.37956,0.39137,0.39714,0.51233,0.55369,0.95914,0.49307,0.004705,0.00029247,0.010066,Corona
0.0070841,0.66964,1.6422,0.88957,0.88495,2.4395,1.8736,1.6805,0.95224,1.5445,0.37982,1.695,0.55125,0.70589,2.8302,1.6593,1.4149,1.4664,1.4549,1.9256,1.7233,2.0977,1.8369,1.1729,1.2542,1.2695,1.9718,0.94838,3.0791,5.1714,4.6758,4.3872,3.5812,3.4748,4.3381,7.6364,9.8059,15.29,17.208,21.493,26.981,33.425,33.435,48.421,158.2,243.52,108.35,38.989,25.299,28.598,23.294,13.89,9.9996,9.715,9.3778,10.623,7.7163,4.6755,4.4739,4.7184,2.7998,2.6627,3.1868,3.6496,1.5952,0.49984,2.0875,1.182,0.68218,1.1794,1.6477,1.5166,1.515,1.7464,2.3243,1.0919,0.65667,1.0169,0.9803,1.3228,1.0467,1.7777,2.3157,1.9648,0.47183,0.027093,0.43315,0.36528,0.027613,0.58021,0.22024,0.23322,0.54454,0.21674,0.55131,0.42006,0.65189,1.0311,0.44126,0.0049721,0.00033932,0.0096024,Corona
0.004189,0.44088,0.7425,0.69357,0.097791,0.60019,0.1541,0.029775,0.56131,0.1835,0.00079437,0.090208,0.54853,0.28086,1.4888,1.8341,1.7314,1.7411,0.77217,0.87049,0.83776,0.76744,2.3096,1.3681,1.1642,2.2286,1.3676,1.7274,3.4853,2.7508,2.1699,2.1233,3.6144,3.5557,2.911,1.5896,3.1926,5.1818,3.497,3.1632,4.1331,4.934,4.3499,15.149,16.451,12.087,15.616,23.12,22.743,30.358,50.234,179.02,213.38,96.659,30.247,25.183,20.246,17.684,10.826,11.048,9.9884,6.3858,7.6619,10.953,7.4534,8.0428,6.7462,2.8916,3.1998,0.9378,1.5027,2.9583,3.6621,1.5499,0.6832,1.6085,1.2365,1.6775,0.99298,2.035,1.7021,1.4356,1.3001,2.1758,2.3661,1.8693,0.65334,0.77897,0.30417,0.61795,0.96509,0.70907,0.75649,1.1651,1.2915,1.3191,0.48059,0.94183,0.55101,0.005066,0.00026581,0.010304,Corona
0.0054332,0.077865,0.43253,0.99469,1.1062,0.82488,0.60711,0.49857,0.44596,0.39838,0.49107,0.74761,1.1638,1.1812,0.91505,0.87397,0.78309,0.68348,0.70064,0.71065,0.86734,1.2292,1.6249,2.0584,2.1692,1.8599,1.7673,1.8737,2.3592,3.2405,4.2221,4.3005,3.4422,3.0674,3.1938,3.9322,5.8508,8.7087,12.199,14.722,17.619,24.484,35.388,47.947,62.177,78.146,87.583,92.192,94.292,88.836,78.218,63.512,43.835,26.769,20.392,19.551,18.815,16.959,11.768,5.5424,2.273,1.4549,1.5217,1.8486,1.9259,1.789,2.1732,2.6986,2.215,1.472,1.4563,1.723,1.9829,1.9847,1.5317,1.0269,0.88519,0.93612,0.91416,0.97044,1.0384,1.0873,1.1468,1.2892,1.5139,1.7976,1.962,1.7696,1.2526,0.67293,0.42758,0.40616,0.4362,0.48756,0.60146,0.74971,0.64777,0.27511,0.048618,0.0032931,0.00028816,0.0086617,Corona
0.0061416,0.58906,1.1336,0.63346,0.49477,0.53452,0.1812,0.5513,0.095434,0.48879,0.1069,0.30702,0.68513,1.256,0.8355,0.72859,0.74069,0.32572,0.67752,0.42853,2.4385,2.7308,2.3899,1.7103,1.3234,1.3596,1.4466,2.0371,2.1402,1.9986,1.9594,1.7166,1.2041,3.0638,4.3924,4.1027,3.8403,4.999,6.1975,10.118,15.56,25.429,20.914,23.203,30.895,59.128,204.57,138.53,40.48,29.638,22.359,19.748,17.681,12.241,10.136,6.2824,3.7518,2.813,3.589,3.5068,2.0259,2.2984,3.645,2.2685,0.81863,1.061,1.0358,1.3082,1.5093,1.9237,1.0321,0.45394,0.78781,0.86467,0.625,0.90406,0.5894,1.4054,1.0376,1.5033,1.2284,1.2468,0.84676,0.056418,0.34565,0.28073,0.021616,0.28308,0.28267,0.13773,0.24993,0.27148,0.34026,0.16275,0.48471,0.31817,0.48608,0.94317,0.46301,0.0043842,0.00028383,0.011286,Corona
0.0052666,0.41737,1.2245,0.77911,0.60888,0.4046,0.45997,0.3359,0.41187,0.28673,0.22913,0.45752,0.041743,0.43631,0.5114,1.6889,2.5344,2.7201,1.8017,1.7888,1.5646,1.193,1.3728,1.1064,1.4555,0.66515,1.8873,1.8934,1.9296,3.5063,2.2644,1.9314,3.5671,3.1944,2.6248,2.2352,3.4214,5.0981,4.9979,8.2824,13.27,23.514,24.909,28.855,33.583,48.021,156.11,204.57,68.801,37.077,28.963,22.701,19.826,21.443,13.392,8.8058,6.3021,4.3509,2.3284,2.185,2.9201,2.4402,1.4965,1.5947,2.1379,1.0879,1.124,1.0941,0.45671,1.4232,1.2086,0.7859,1.3673,1.3114,1.5137,2.018,2.1705,2.4613,1.0835,0.62351,0.54119,0.91012,1.6231,0.43983,0.027884,0.47257,0.20477,0.0092462,0.34033,0.34068,0.039127,0.47446,0.20713,0.36005,0.37093,0.52416,0.64393,1.1596,0.43608,0.006051,0.00020113,0.010387,Corona
0.0062262,0.4246,1.0314,0.61448,0.53812,0.4303,0.27513,0.46691,0.17956,0.35978,0.28106,0.085089,0.52595,0.063493,0.13889,0.49322,0.032013,0.097528,0.5195,0.28579,2.6661,4.183,2.5195,1.765,1.5797,1.9419,1.3002,1.1461,1.7888,2.9356,2.4979,1.7826,2.3775,1.5411,1.849,1.2666,2.571,4.3637,7.437,8.2098,10.301,16.151,19.372,21.96,23.946,29.728,57.26,127.76,170.07,90.726,33.562,26.106,20.362,22.453,14.257,9.811,9.749,5.9683,4.7575,3.3726,3.7781,2.5038,1.8873,2.0181,2.413,3.5395,2.8075,2.6717,2.2926,2.249,1.505,0.62563,0.82686,0.80954,0.8799,0.90871,0.93291,1.2876,1.9041,1.1033,0.36065,0.66645,1.0223,0.96514,0.40225,0.51878,0.079347,0.063475,0.52652,0.082463,0.22153,0.41642,0.12892,0.50357,0.23971,0.49663,0.60192,0.95747,0.39571,0.005788,0.00036239,0.010874,Corona
